	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Ccdc129	0	4.7095407	0.761	0.002	0	female_epithelial	Ccdc129
Erbb4	0	4.237294571	0.698	0.063	0	female_epithelial	Erbb4
Dlg2	0	4.007807062	0.516	0.149	0	female_epithelial	Dlg2
Prlr	0	3.937682964	0.242	0.105	0	female_epithelial	Prlr
Wnt5b	0	3.849075817	0.694	0.061	0	female_epithelial	Wnt5b
Adgrl3	0	3.832745006	0.749	0.031	0	female_epithelial	Adgrl3
BC006965	0	3.747806651	0.708	0.004	0	female_epithelial	BC006965
Grip1	0	3.678025556	0.641	0.027	0	female_epithelial	Grip1
Ntng1	0	3.545969838	0.667	0.009	0	female_epithelial	Ntng1
Csmd1	0	3.519503781	0.652	0.046	0	female_epithelial	Csmd1
Trps1	0	3.457530409	0.933	0.549	0	female_epithelial	Trps1
Npas3	0	3.42280563	0.757	0.066	0	female_epithelial	Npas3
Thsd4	0	3.378086014	0.816	0.084	0	female_epithelial	Thsd4
Kit	0	3.376041868	0.643	0.017	0	female_epithelial	Kit
Slc12a2	0	3.329085968	0.225	0.069	0	female_epithelial	Slc12a2
Nrxn3	0	3.31304339	0.176	0.026	0	female_epithelial	Nrxn3
Fcgbp	0	3.300896064	0.533	0.001	0	female_epithelial	Fcgbp
2610307P16Rik	0	3.248956711	0.89	0.09	0	female_epithelial	2610307P16Rik
Kcnd2	0	3.206152533	0.396	0.022	0	female_epithelial	Kcnd2
Apobec3	0	3.175345128	0.876	0.127	0	female_epithelial	Apobec3
Ntn1	0	3.166097648	0.709	0.161	0	female_epithelial	Ntn1
Tmem56	0	3.071013023	0.198	0.011	0	female_epithelial	Tmem56
Ptprk	0	3.018952509	0.923	0.217	0	female_epithelial	Ptprk
Ptn	0	2.997214724	0.207	0.002	0	female_epithelial	Ptn
Gna14	0	2.963069608	0.611	0.02	0	female_epithelial	Gna14
Map2	0	2.942695168	0.639	0.018	0	female_epithelial	Map2
Scml4	0	2.925649169	0.573	0.023	0	female_epithelial	Scml4
Ank3	0	2.923461337	0.805	0.045	0	female_epithelial	Ank3
Gpc6	0	2.847436933	0.832	0.277	0	female_epithelial	Gpc6
Col4a6	0	2.836352869	0.727	0.062	0	female_epithelial	Col4a6
Shank2	0	2.797316009	0.673	0.045	0	female_epithelial	Shank2
