	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
STAT4	0	0.751649	0.824	0.664	0	CD4+ T-cells	STAT4
GPRIN3	0	0.666996	0.788	0.628	0	CD4+ T-cells	GPRIN3
SAMD3	0	0.666698	0.564	0.454	0	CD4+ T-cells	SAMD3
ITGA4	0	0.63736	0.666	0.567	0	CD4+ T-cells	ITGA4
BICDL1	0	0.596187	0.591	0.504	0	CD4+ T-cells	BICDL1
ARAP2	0	0.565413	0.751	0.605	0	CD4+ T-cells	ARAP2
DOCK10	0	0.529783	0.956	0.78	0	CD4+ T-cells	DOCK10
ICOS	4.38E-286	0.58712	0.577	0.529	8.77E-283	CD4+ T-cells	ICOS
FAAH2	5.71E-203	0.512829	0.511	0.469	1.14E-199	CD4+ T-cells	FAAH2
AOAH	5.94E-183	0.513803	0.582	0.516	1.19E-179	CD4+ T-cells	AOAH
TPT1	0	1.803174	0.996	0.772	0	CD4+ T-cells	TPT1
RPS12	0	1.68455	0.982	0.675	0	CD4+ T-cells	RPS12
RPL32	0	1.647422	0.99	0.687	0	CD4+ T-cells	RPL32
RPL30	0	1.621287	0.991	0.704	0	CD4+ T-cells	RPL30
RPS18	0	1.606008	0.99	0.698	0	CD4+ T-cells	RPS18
RPS23	0	1.587719	0.985	0.662	0	CD4+ T-cells	RPS23
RPS14	0	1.544621	0.972	0.636	0	CD4+ T-cells	RPS14
RPL11	0	1.539195	0.988	0.672	0	CD4+ T-cells	RPL11
RPLP1	0	1.53532	0.994	0.743	0	CD4+ T-cells	RPLP1
RPS4X	0	1.533459	0.982	0.65	0	CD4+ T-cells	RPS4X
EEF1A1	0	1.530072	0.999	0.793	0	CD4+ T-cells	EEF1A1
RPL19	0	1.513059	0.984	0.657	0	CD4+ T-cells	RPL19
RPL34	0	1.495511	0.987	0.652	0	CD4+ T-cells	RPL34
RPL10	0	1.494178	0.996	0.769	0	CD4+ T-cells	RPL10
RPS27A	0	1.493856	0.985	0.686	0	CD4+ T-cells	RPS27A
RPS8	0	1.492607	0.978	0.628	0	CD4+ T-cells	RPS8
RPS13	0	1.47345	0.939	0.565	0	CD4+ T-cells	RPS13
RPL41	0	1.464925	0.986	0.716	0	CD4+ T-cells	RPL41
RPS25	0	1.427883	0.969	0.623	0	CD4+ T-cells	RPS25
RPS19	0	1.425397	0.992	0.72	0	CD4+ T-cells	RPS19
RPS3	0	1.417376	0.983	0.681	0	CD4+ T-cells	RPS3
RPS15	0	1.409442	0.974	0.622	0	CD4+ T-cells	RPS15
RPL28	0	1.40787	0.994	0.703	0	CD4+ T-cells	RPL28
RPL3	0	1.394139	0.979	0.645	0	CD4+ T-cells	RPL3
RPL29	0	1.391861	0.969	0.625	0	CD4+ T-cells	RPL29
RPL35A	0	1.391332	0.94	0.57	0	CD4+ T-cells	RPL35A
RPL18	0	1.383626	0.968	0.615	0	CD4+ T-cells	RPL18
RPL27A	0	1.370406	0.977	0.639	0	CD4+ T-cells	RPL27A
TMSB4X	0	1.348015	0.998	0.85	0	CD4+ T-cells	TMSB4X
RPL14	0	1.344209	0.952	0.604	0	CD4+ T-cells	RPL14
RPL13A	0	1.339293	0.992	0.705	0	CD4+ T-cells	RPL13A
RPS2	0	1.327815	0.988	0.71	0	CD4+ T-cells	RPS2
RPL6	0	1.308113	0.962	0.605	0	CD4+ T-cells	RPL6
RPL15	0	1.286118	0.959	0.619	0	CD4+ T-cells	RPL15
RPL7A	0	1.278841	0.932	0.585	0	CD4+ T-cells	RPL7A
FAU	0	1.236748	0.923	0.559	0	CD4+ T-cells	FAU
TMSB10	0	1.227254	0.985	0.719	0	CD4+ T-cells	TMSB10
RPL5	0	1.211793	0.949	0.607	0	CD4+ T-cells	RPL5
RPS9	0	1.209368	0.97	0.645	0	CD4+ T-cells	RPS9
RPL10A	0	1.201356	0.91	0.576	0	CD4+ T-cells	RPL10A
RPL8	0	1.177194	0.944	0.584	0	CD4+ T-cells	RPL8
B2M	0	1.150594	1	0.935	0	CD4+ T-cells	B2M
EEF1B2	0	1.149201	0.86	0.513	0	CD4+ T-cells	EEF1B2
ACTB	0	1.143237	0.996	0.821	0	CD4+ T-cells	ACTB
RPS5	0	1.086444	0.852	0.512	0	CD4+ T-cells	RPS5
RACK1	0	1.077225	0.903	0.574	0	CD4+ T-cells	RACK1
RPL23	0	1.041984	0.866	0.502	0	CD4+ T-cells	RPL23
PTMA	0	1.002357	0.955	0.647	0	CD4+ T-cells	PTMA
ACTG1	0	0.926406	0.925	0.651	0	CD4+ T-cells	ACTG1
HLA-C	0	0.852689	0.974	0.75	0	CD4+ T-cells	HLA-C
CFL1	0	0.804685	0.773	0.501	0	CD4+ T-cells	CFL1
IL7R	0	0.779372	0.929	0.731	0	CD4+ T-cells	IL7R
S100A4	0	0.718198	0.596	0.494	0	CD4+ T-cells	S100A4
SH3BGRL3	0	0.691152	0.615	0.453	0	CD4+ T-cells	SH3BGRL3
CCR7	0	0.650046	0.733	0.531	0	CD4+ T-cells	CCR7
GAPDH	0	0.621832	0.623	0.486	0	CD4+ T-cells	GAPDH
UBC	0	0.606815	0.78	0.549	0	CD4+ T-cells	UBC
FTL	0	0.588668	0.682	0.474	0	CD4+ T-cells	FTL
MAMDC2	0	0.570595	0.756	0.432	0	CD4+ T-cells	MAMDC2
GHR	0	3.084746	0.979	0.234	0	Adipocytes	GHR
ACACB	0	3.004903	0.981	0.342	0	Adipocytes	ACACB
DMD	0	2.888736	0.963	0.281	0	Adipocytes	DMD
SLC19A3	0	2.852819	0.915	0.163	0	Adipocytes	SLC19A3
LRP1B	0	2.785857	0.872	0.205	0	Adipocytes	LRP1B
PCDH9	0	2.736976	0.895	0.181	0	Adipocytes	PCDH9
SORBS1	0	2.692691	0.939	0.171	0	Adipocytes	SORBS1
TMEM132C	0	2.622776	0.902	0.18	0	Adipocytes	TMEM132C
PPARG	0	2.582719	0.922	0.224	0	Adipocytes	PPARG
ADH1B	0	2.554388	0.873	0.192	0	Adipocytes	ADH1B
AQP7	0	2.525988	0.896	0.194	0	Adipocytes	AQP7
TENM3	0	2.42085	0.908	0.2	0	Adipocytes	TENM3
SIK2	0	2.314918	0.919	0.426	0	Adipocytes	SIK2
EBF1	0	2.307316	0.977	0.329	0	Adipocytes	EBF1
LAMA4	0	2.297909	0.918	0.231	0	Adipocytes	LAMA4
PTGER3	0	2.271218	0.781	0.161	0	Adipocytes	PTGER3
SOX5	0	2.264662	0.851	0.213	0	Adipocytes	SOX5
FAM13A	0	2.257939	0.891	0.378	0	Adipocytes	FAM13A
LPL	0	2.190431	0.784	0.15	0	Adipocytes	LPL
RHOBTB3	0	2.167248	0.854	0.247	0	Adipocytes	RHOBTB3
CD36	0	2.130808	0.912	0.214	0	Adipocytes	CD36
PLIN1	0	2.125385	0.807	0.21	0	Adipocytes	PLIN1
MGST1	0	2.122256	0.803	0.17	0	Adipocytes	MGST1
ACSS3	0	2.102671	0.779	0.174	0	Adipocytes	ACSS3
PRKAR2B	0	2.054224	0.759	0.148	0	Adipocytes	PRKAR2B
CALCRL	0	1.987554	0.732	0.207	0	Adipocytes	CALCRL
TEAD1	0	1.967379	0.848	0.233	0	Adipocytes	TEAD1
GNAI1	0	1.965128	0.779	0.183	0	Adipocytes	GNAI1
TCF7L2	0	1.937757	0.89	0.309	0	Adipocytes	TCF7L2
GYG2	0	1.936404	0.746	0.127	0	Adipocytes	GYG2
FIGN	0	1.916494	0.783	0.159	0	Adipocytes	FIGN
ITSN1	0	1.91372	0.857	0.261	0	Adipocytes	ITSN1
EFNA5	0	1.893613	0.824	0.165	0	Adipocytes	EFNA5
MAPK10	0	1.887556	0.832	0.223	0	Adipocytes	MAPK10
MAST4	0	1.882743	0.901	0.47	0	Adipocytes	MAST4
ABHD5	0	1.870244	0.756	0.277	0	Adipocytes	ABHD5
SLC1A3	0	1.86039	0.726	0.135	0	Adipocytes	SLC1A3
ACSL1	0	1.859752	0.741	0.218	0	Adipocytes	ACSL1
DLC1	0	1.852329	0.918	0.256	0	Adipocytes	DLC1
PTPRS	0	1.846759	0.838	0.176	0	Adipocytes	PTPRS
PPP2R1B	0	1.842099	0.786	0.314	0	Adipocytes	PPP2R1B
TLN2	0	1.842052	0.814	0.24	0	Adipocytes	TLN2
ADIPOQ	0	1.828298	0.729	0.18	0	Adipocytes	ADIPOQ
EPB41L4B	0	1.821121	0.742	0.168	0	Adipocytes	EPB41L4B
PALMD	0	1.791964	0.788	0.161	0	Adipocytes	PALMD
GBE1	0	1.789879	0.808	0.36	0	Adipocytes	GBE1
TNS1	0	1.77576	0.804	0.224	0	Adipocytes	TNS1
PECR	0	1.734629	0.764	0.288	0	Adipocytes	PECR
ACSS2	0	1.707036	0.759	0.257	0	Adipocytes	ACSS2
PDZRN3	0	1.702501	0.758	0.165	0	Adipocytes	PDZRN3
PCOLCE2	0	1.690684	0.73	0.265	0	Adipocytes	PCOLCE2
ACVR1C	0	1.684342	0.691	0.277	0	Adipocytes	ACVR1C
ASPH	0	1.683247	0.869	0.404	0	Adipocytes	ASPH
GPAM	0	1.679944	0.667	0.188	0	Adipocytes	GPAM
AL845331.2	0	1.66729	0.722	0.147	0	Adipocytes	AL845331.2
CLSTN2	0	1.661664	0.624	0.162	0	Adipocytes	CLSTN2
LVRN	0	1.659485	0.712	0.159	0	Adipocytes	LVRN
PLXNA4	0	1.658766	0.721	0.168	0	Adipocytes	PLXNA4
ANGPTL4	0	1.648701	0.677	0.19	0	Adipocytes	ANGPTL4
SOX6	0	1.642888	0.723	0.188	0	Adipocytes	SOX6
GRK3	0	1.635988	0.799	0.29	0	Adipocytes	GRK3
COL4A2	0	1.632327	0.78	0.199	0	Adipocytes	COL4A2
PLIN5	0	1.62226	0.68	0.228	0	Adipocytes	PLIN5
CIDEA	0	1.621561	0.706	0.157	0	Adipocytes	CIDEA
PTEN	0	1.609874	0.91	0.703	0	Adipocytes	PTEN
LMO3	0	1.60583	0.665	0.127	0	Adipocytes	LMO3
AGBL4	0	1.601691	0.69	0.212	0	Adipocytes	AGBL4
LGR4	0	1.59456	0.69	0.157	0	Adipocytes	LGR4
GABRE	0	1.594532	0.717	0.177	0	Adipocytes	GABRE
MEST	0	1.580864	0.647	0.233	0	Adipocytes	MEST
PNPLA2	0	1.575306	0.743	0.304	0	Adipocytes	PNPLA2
RBPMS	0	1.572438	0.878	0.289	0	Adipocytes	RBPMS
MLXIPL	0	1.56811	0.709	0.15	0	Adipocytes	MLXIPL
CPM	0	1.562715	0.7	0.195	0	Adipocytes	CPM
LEPR	0	1.559792	0.714	0.283	0	Adipocytes	LEPR
TRHDE	0	1.556639	0.594	0.141	0	Adipocytes	TRHDE
THRB	0	1.550691	0.738	0.205	0	Adipocytes	THRB
ANO6	0	1.543145	0.839	0.532	0	Adipocytes	ANO6
