sample_id,sample_type,tissue,celltype,celltype_number,total_number,proportion
0,Kidney_Mesothelium,Kidney,Endothelial_Cells,609,5241,0.11619919862621637
0,Kidney_Mesothelium,Kidney,Unknown,431,5241,0.08223621446288876
0,Kidney_Mesothelium,Kidney,Immune_Cells,483,5241,0.09215798511734402
0,Kidney_Mesothelium,Kidney,Mesothelial_Cells,682,5241,0.13012783819881701
0,Kidney_Mesothelium,Kidney,Fibroblasts,1518,5241,0.2896393817973669
0,Kidney_Mesothelium,Kidney,Pericytes_SMCs,677,5241,0.12917382178973477
0,Kidney_Mesothelium,Kidney,Adipocytes,600,5241,0.11448196908986835
0,Kidney_Mesothelium,Kidney,Schwann_Cells,241,5241,0.045983590917763786
1,Kidney_Mesothelium,Kidney,Endothelial_Cells,1454,14352,0.10130992196209587
1,Kidney_Mesothelium,Kidney,Unknown,1964,14352,0.13684503901895206
1,Kidney_Mesothelium,Kidney,Immune_Cells,1097,14352,0.07643534002229654
1,Kidney_Mesothelium,Kidney,Mesothelial_Cells,1352,14352,0.09420289855072464
1,Kidney_Mesothelium,Kidney,Fibroblasts,5377,14352,0.37465161649944256
1,Kidney_Mesothelium,Kidney,Pericytes_SMCs,1567,14352,0.10918338907469342
1,Kidney_Mesothelium,Kidney,Adipocytes,1040,14352,0.07246376811594203
1,Kidney_Mesothelium,Kidney,Schwann_Cells,501,14352,0.03490802675585284
2,Kidney_Mesothelium,Kidney,Endothelial_Cells,646,4234,0.15257439773264053
2,Kidney_Mesothelium,Kidney,Unknown,334,4234,0.07888521492678319
2,Kidney_Mesothelium,Kidney,Immune_Cells,428,4234,0.10108644307982995
2,Kidney_Mesothelium,Kidney,Mesothelial_Cells,399,4234,0.0942371280113368
2,Kidney_Mesothelium,Kidney,Fibroblasts,546,4234,0.12895606991025035
2,Kidney_Mesothelium,Kidney,Pericytes_SMCs,847,4234,0.20004723665564478
2,Kidney_Mesothelium,Kidney,Adipocytes,676,4234,0.15965989607935757
2,Kidney_Mesothelium,Kidney,Schwann_Cells,358,4234,0.08455361360415682
3,Mesentary_Mesothelium,Mesentary,Endothelial_Cells,119,1101,0.1080835603996367
3,Mesentary_Mesothelium,Mesentary,Unknown,74,1101,0.06721162579473206
3,Mesentary_Mesothelium,Mesentary,Immune_Cells,96,1101,0.08719346049046321
